received_date,manufacturer_name,model_name,model_year,vehicle_type
2019-08-09,현대자동차,투싼(TUCSON),2016,SUV
2019-08-09,현대자동차,싼타페(SANTAFE),2013,SUV
2019-08-12,기아,카니발,2015,MPV/미니밴
2019-08-12,기아,카니발,2016,MPV/미니밴
2019-08-12,기아,니로 하이브리드,2017,SUV
2019-08-12,BMW,BMW X5 xDrive30d,2018,SUV
2019-08-13,포드,Explorer 2.3 AWD,2017,SUV
2019-08-13,르노코리아,QM6,2017,SUV
2019-08-13,KG 모빌리티,티볼리,2020,SUV
2019-08-13,기아,스포티지,2012,SUV
2019-08-13,KG 모빌리티,G4 렉스턴,2019,SUV
2019-08-13,현대자동차,투싼(TUCSON),2019,SUV
2019-08-14,KG 모빌리티,티볼리 에어,2016,SUV
2019-08-14,BMW,BMW X5 xDrive30d,2018,SUV
2019-08-14,기아,스포티지,2008,SUV
2019-08-14,기아,쏘렌토,2013,SUV
2019-08-14,기아,카니발,2019,MPV/미니밴
2019-08-14,기아,쏘렌토,2018,SUV
2019-08-16,현대자동차,투싼(TUCSON),2016,SUV
2019-08-16,포드,Explorer 2.3 AWD,2016,SUV
2019-08-16,현대자동차,투싼(TUCSON),2016,SUV
2019-08-16,현대자동차,그랜드 스타렉스(GRAND STAREX),2015,MPV/미니밴
2019-08-19,르노코리아,QM3,2016,SUV
2019-08-19,현대자동차,그랜드 스타렉스(GRAND STAREX),2019,MPV/미니밴
2019-08-19,현대자동차,투싼(TUCSON),2016,SUV
2019-08-20,기아,스포티지,2016,SUV
2019-08-20,BMW,BMW X5 xDrive30d,2017,SUV
2019-08-20,기아,스포티지,2016,SUV
2019-08-20,KG 모빌리티,티볼리 에어,2019,SUV
2019-08-20,현대자동차,그랜드 스타렉스(GRAND STAREX),2017,MPV/미니밴
2019-08-20,현대자동차,투싼(TUCSON),2016,SUV
2019-08-20,KG 모빌리티,티볼리 에어,2019,SUV
2019-08-20,기아,니로 하이브리드,2018,SUV
